Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,OWS/48,DWS/48,Shot%,Team Mar,Team MP,Team Gm,Year 3PAr,Team TS%,Tm USG,Tm TS W/O Plyr,Reb/Vers,Defense,Val/Shot,Offense,MPG + Int,RAW SPM,%Min,RAW Contrib,Tm Sum,Tm Adj,BPM,StdErr,Contrib,VORP,Reb/Vers,Val/Shot,Offense,Defense,MPG,Raw OBPM,Contrib,Tm Ortg,Tm Sum,Tm Adj,Tm DRtg,OBPM,OStdErr,Ocontrib,OVORP,DBPM,DStdErr,Dcontrib,DVORP,Sum SPM,%Min,MPG,ReMPG,BPM,Contrib,VORP,VORP-Gm,O-BPM,Ocontrib,OVORP,"OVORP
Gm",D-BPM,Dcontrib,DVORP,"DVORP
Gm",Exp BPM,"TrueTalent
BPM","Exp%
Min","TrueTalent
VORP",TrueTimeVORP,WORP,O-WORP,D-WORP,Adjusted WORP,Estimated Position,BBRef Pos,Age on Feb 1,Yrs Experience,Height,Weight,Rounded Position,Rounded Age,Playoffs
2016,ATL,Paul Millsap,30,9,312,22.5,0.581,0.333,0.423,5.9,21.4,13.9,18.3,3.3,2.6,12.6,21.5,0.8,0.5,1.3,0.201,3.1,2.9,6,0.6,0.124,0.077,18.8,3.76,2160,9,0.275,0.561,37214,0.557,3.04,2.58,0.16,0.29,0.93,6.84,0.72,4.94,8.75,-0.85,6,3,4.3,5.8,0.9,0.4,1.3,0.5,0.5,3.5,2.5,4,5.5,-0.2,0.1,3.4,2,2.4,3.7,2.6,2.2,1.9,2.1,0.7,0.7,34.7,24,6,4.3,5.8,5.8,3.4,2.4,3.7,3.7,2.6,1.9,2.1,2.1,0.1,2.2,0.73,3,5.8,15.6,9.9,5.7,15.7,3.6,4,30.97,9,80,246,4,31,Y
2016,ORL,Victor Oladipo,23,8,308,14.5,0.454,0.313,0.134,1.5,18.8,10.5,18.1,2.2,1.9,9.6,22.1,0,0.5,0.5,0.08,-1.2,2.1,0.8,0.2,0.001,0.079,20,-2.11,1994,8,0.275,0.514,34110,0.527,1.34,0.83,-0.04,-1.86,1.13,1.44,0.77,1.11,0.55,-0.62,0.8,3,0.6,2.2,-0.3,0.2,-0.7,0.2,0.6,0,0,-2.5,0.7,-0.7,2,-0.8,2,-0.6,0.7,1.6,2.2,1.2,1.5,-2.3,0.8,38.5,25.7,0.8,0.6,2.2,2.2,-0.8,-0.6,0.7,0.7,1.6,1.2,1.5,1.5,-0.4,0,0.51,1,1.4,5.9,2,3.9,3.9,2.1,2,23.75,2,76,210,2,24,N
2016,ORL,Evan Fournier,23,8,302,15.4,0.58,0.408,0.208,0.7,9.9,5.5,10.1,1.6,0,10.3,21,0.5,0.3,0.8,0.127,1.9,-1.2,0.7,0.2,0.079,0.048,18.8,-2.11,1994,8,0.275,0.514,34110,0.501,-2.01,-0.93,0.16,3.22,1.07,1.35,0.76,1.02,0.55,-0.62,0.7,3,0.6,2.1,-1,0.5,3.1,0.1,0.6,3.1,2.4,-2.5,0.7,-0.7,2,2.4,2,1.8,3.1,-1.6,2.2,-1.2,-1,4,0.8,37.8,25.2,0.7,0.6,2.1,2.1,2.4,1.8,3.1,3.1,-1.6,-1.2,-1,-1,-0.5,-0.1,0.5,0.9,1.4,5.6,8.3,-2.8,3.7,2.3,3,23.26,3,79,205,2,23,N
2016,IND,George Hill,29,8,299,16.3,0.602,0.495,0.363,1.4,10.3,5.8,15.9,2.4,0.8,13.9,18.2,0.6,0.3,0.9,0.149,3.5,0.3,3.7,0.4,0.099,0.05,15.7,2.07,1919,8,0.275,0.511,32899,0.496,-0.43,0.5,0.34,2.75,1.04,3.87,0.78,3.01,3.15,-0.13,3.7,3,2.9,4.5,-0.4,0.6,2.9,0.3,0.5,3.9,3.1,-3.4,2.4,-1.3,2.1,2.6,2,2,3.4,1.1,2.2,0.9,1.1,1.5,0.8,37.4,24.9,3.7,2.9,4.5,4.5,2.6,2,3.4,3.4,1.1,0.9,1.1,1.1,0,1.3,0.7,2.3,4,12.1,9.1,3,10.8,1.3,1,29.75,7,75,188,1,30,Y
2016,POR,Damian Lillard,25,8,293,26.3,0.602,0.424,0.242,1.9,7.6,4.8,35.7,1.5,0.5,14.1,31.7,1.3,0.1,1.4,0.231,9.1,-3.4,5.7,0.6,0.214,0.017,27.2,2.08,1921,8,0.275,0.552,32831,0.536,2.57,-0.79,0.57,2.21,0.98,4.97,0.76,3.79,-0.87,0.67,5.6,3.1,4.3,5.8,0.8,0.7,6,0,0.5,8,6.1,3.5,1.8,0.5,-2.4,8.4,2,6.4,7.7,-2.8,2.3,-2.1,-1.9,11.2,0.8,36.6,24.4,5.6,4.3,5.8,5.8,8.4,6.4,7.7,7.7,-2.8,-2.1,-1.9,-1.9,-0.1,1.9,0.73,2.8,5.5,15.7,20.8,-5.1,15,1,1,25.55,3,75,195,1,26,Y
2016,IND,Paul George,25,8,287,23.8,0.556,0.343,0.413,6.7,19.6,13,26.3,2.3,0.6,15.1,30.8,0.7,0.4,1.1,0.189,6.2,0.9,7.1,0.7,0.12,0.069,26.1,2.07,1919,8,0.275,0.511,32899,0.497,5.25,0.26,0.37,0.79,0.92,7.23,0.75,5.4,3.15,-0.13,7.1,3.1,5.3,6.8,1.8,0.5,3.6,0.3,0.5,6.7,5,-3.4,2.4,-1.3,2.1,5.4,2.1,4,5.3,1.7,2.3,1.3,1.5,3.7,0.7,35.9,23.9,7.1,5.3,6.8,6.8,5.4,4,5.3,5.3,1.7,1.3,1.5,1.5,-0.2,2.3,0.73,3.2,6.6,18.4,14.3,4.1,17.8,3.1,4,25.75,5,81,220,3,26,Y
2016,ATL,Al Horford,29,9,286,21.5,0.552,0.234,0.141,8.5,19.2,14,14,1.2,4.3,9.9,23.5,0.6,0.3,0.9,0.153,1.5,1.1,2.6,0.3,0.102,0.051,21.2,3.76,2160,9,0.275,0.561,37214,0.563,2.27,0.85,-0.01,-0.35,0.68,3.45,0.66,2.29,8.75,-0.85,2.6,3.1,1.7,3,1.2,0.3,0.4,-0.3,0.4,1.9,1.2,4,5.5,-0.2,0.1,1.7,2.1,1.1,2.3,0.9,2.3,0.6,0.8,0.9,0.7,31.8,22,2.6,1.7,3,3,1.7,1.1,2.3,2.3,0.9,0.6,0.8,0.8,-0.4,0.7,0.61,1.6,2.8,8.2,6.1,2.1,7.5,4.3,5,29.67,8,82,245,4,30,Y
2016,ATL,Jeff Teague,27,9,284,20.6,0.542,0.218,0.376,1.6,9.1,5.5,33.8,2.2,1.7,16.2,29,0.5,0.2,0.7,0.123,1.3,-1.3,-0.1,0.1,0.087,0.036,24.3,3.76,2160,9,0.275,0.561,37214,0.565,2.71,0.72,0.3,-3.3,0.66,0.79,0.66,0.52,8.75,-0.85,-0.1,3.1,0,1.3,0.7,0.4,0,0.2,0.3,1.6,1.1,4,5.5,-0.2,0.1,1.5,2.1,1,2.1,-1.6,2.3,-1,-0.8,3,0.7,31.6,21.8,-0.1,0,1.3,1.3,1.5,1,2.1,2.1,-1.6,-1,-0.8,-0.8,-0.4,-0.3,0.47,0.8,0.9,3.5,5.7,-2.2,2.5,1,1,27.64,6,74,186,1,28,Y
2016,CHI,Jimmy Butler,26,8,283,20.6,0.558,0.279,0.441,1.5,13.2,7.7,13.5,2.8,1.7,7,22.1,0.7,0.5,1.2,0.204,2.8,2,4.9,0.5,0.119,0.085,20.6,1.36,1969,8,0.275,0.521,34147,0.514,-0.42,1.48,0.11,2.21,0.88,4.14,0.72,2.97,-2.09,0.75,4.9,3.1,3.5,4.9,-0.6,0.4,2.8,0.4,0.5,3.4,2.5,-2.4,0.1,-0.6,4.1,2.8,2.1,2,3.3,2.1,2.3,1.5,1.7,0.8,0.7,35.4,23.6,4.9,3.5,4.9,4.9,2.8,2,3.3,3.3,2.1,1.5,1.7,1.7,-0.4,1.5,0.72,2.5,4.9,13.4,8.8,4.6,13.4,2.7,2,26.38,4,79,220,3,26,N
2016,HOU,James Harden,26,7,276,23.1,0.547,0.497,0.589,2.7,13.7,8.1,27.1,2.1,1.7,15.5,34.7,0.6,0.1,0.7,0.125,5.3,-1.6,3.7,0.4,0.106,0.019,29.3,-2.83,1707,7,0.275,0.529,29000,0.522,3,0.6,0.36,0.55,1.06,5.21,0.81,4.21,3.91,-1.46,3.7,3.1,3,4.6,0.7,0.5,4,0.2,0.6,5.9,4.8,-0.2,3.9,-0.8,-5.4,5.1,2.1,4.1,5.5,-1.3,2.3,-1.1,-0.8,6.4,0.8,39.4,25.1,3.7,3,4.6,4.6,5.1,4.1,5.5,5.5,-1.3,-1.1,-0.8,-0.8,-0.7,0.9,0.63,1.8,3.6,12.5,14.8,-2.3,9.8,2,2,26.43,6,77,220,2,27,Y
